Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C95177,RC0603JR-070RL,YAGEO,0603,,100mW 0Ω 75V Thick Film Resistor ±5% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0034,0.34,https://www.lcsc.com/product-detail/C95177.html
2,C427602,ME6217C33M5G,MICRONE,SOT-23-5,,"3.3V Positive Fixed SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ",yes,5,5,5,0.1219,0.61,https://www.lcsc.com/product-detail/C427602.html
3,C2846043,CH343P,WCH,TQFN-16-EP(3x3),,"USB to UART 6Mbps USB 2.0 TQFN-16-EP(3x3) Interface Controllers ",yes,1,1,1,1.1227,1.12,https://www.lcsc.com/product-detail/C2846043.html
4,C701341,ESP32-WROOM-32E-N4,ESPRESSIF,"SMD,25.5x18mm",,"2.4GHz On-board PCB Antenna -98dBm SMD,25.5x18mm RF Transceiver Modules and Modems RoHS",yes,1,1,1,3.7668,3.77,https://www.lcsc.com/product-detail/C701341.html
5,C720477,TS-1088-AR02016,XUNPU,"SMD,4x3mm",,Tactile Switch SPST 160gf 2mm SMD (SMT) Tab 4mm x 3mm Surface Mount,yes,10,10,10,0.0531,0.53,https://www.lcsc.com/product-detail/C720477.html
6,C7450623,GT-TC060A-H025-L1S,G-Switch,"SMD,6x3mm",,Tactile Switch SPST 160gf 2.5mm SMD (SMT) Tab 6.05mm x 3.5mm Surface Mount,yes,5,5,5,0.0929,0.46,https://www.lcsc.com/product-detail/C7450623.html
7,C2907005,FRC0603F2201TS,FOJAN,0603,,2.2kΩ ±1% 100mW 0603 Thick Film Resistor,yes,100,100,100,0.0022,0.22,https://www.lcsc.com/product-detail/C2907005.html
8,C2907044,FRC0603F5101TS,FOJAN,0603,,5.1kΩ ±1% 100mW 0603 Thick Film Resistor,yes,100,100,100,0.0021,0.21,https://www.lcsc.com/product-detail/C2907044.html
9,C98220,RC0603FR-0710KL,YAGEO,0603,,100mW 10kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0040,0.40,https://www.lcsc.com/product-detail/C98220.html
10,C1591,CL10B104KB8NNNC,Samsung Electro-Mechanics,0603,,100nF ±10% 50V Ceramic Capacitor X7R 0603,yes,200,100,100,0.0118,2.36,https://www.lcsc.com/product-detail/C1591.html
11,C2907002,FRC0603F1001TS,FOJAN,0603,,1kΩ ±1% 100mW 0603 Thick Film Resistor,yes,100,100,100,0.0029,0.29,https://www.lcsc.com/product-detail/C2907002.html
12,C916392,SS8050,JSMSEMI,SOT-23,,Bipolar (BJT) Transistor NPN 25V 1.5A 300mW Surface Mount SOT-23,yes,50,50,50,0.0100,0.50,https://www.lcsc.com/product-detail/C916392.html
13,C2765186,TYPE-C 16PIN 2MD(073),SHOU HAN,SMD,,"USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle",yes,20,20,20,0.0707,1.41,https://www.lcsc.com/product-detail/C2765186.html
14,C140782,GRM188R60J476ME15D,muRata,0603,,47uF ±20% 6.3V Ceramic Capacitor X5R 0603,yes,5,5,5,0.1934,0.97,https://www.lcsc.com/product-detail/C140782.html
15,C1705,CL10A475KP8NNNC,Samsung Electro-Mechanics,0603,,4.7uF ±10% 10V Ceramic Capacitor X5R 0603,yes,50,50,50,0.0199,1.00,https://www.lcsc.com/product-detail/C1705.html
16,C29936,CL10B105KA8NNNC,Samsung Electro-Mechanics,0603,,1uF ±10% 25V Ceramic Capacitor X7R 0603,yes,10,10,10,0.0216,0.22,https://www.lcsc.com/product-detail/C29936.html
17,C19702,CL10A106KP8NNNC,Samsung Electro-Mechanics,0603,,10uF ±10% 10V Ceramic Capacitor X5R 0603,yes,20,20,20,0.0353,0.71,https://www.lcsc.com/product-detail/C19702.html
